,Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,14710,319,2011.0,1,11,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475
1,2738,83,2010.0,3,9,0.5166395113876998,0.20885427056098504,0.0,0.09893097026572975,0.8244247522144146
2,13538,158,2011.0,4,29,0.7071067811865476,0.0,0.0,0.0,0.7071067811865476
3,13800,256,2009.0,8,32,0.6,0.0,0.0,0.0,0.7999999999999999
4,8062,521,2009.0,0,9,0.5711872077128709,0.0,0.0,0.21968738758187342,0.7908745952947442
5,10880,517,1998.0,10,100,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
6,861,400,2010.0,4,100,0.4208614641369748,0.3400900720298786,0.0,0.07652026620672268,0.8374718023735761
7,695,89,2011.0,0,34,0.40555675533540775,0.2816366356495887,0.05632732712991774,0.11640980940182999,0.8599305275167441
8,500,185,2001.0,10,101,0.29348313250349733,0.09486323474860521,0.4090976998533599,0.059289521717878255,0.8567335888233408
9,10666,178,2005.0,9,74,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475
10,4246,515,2014.0,8,21,0.21462818807668885,0.518684787851998,0.0,0.08942841169862037,0.8227413876273073
11,12104,431,2006.0,5,114,0.5661385170722978,0.22645540682891913,0.0,0.0,0.792593923901217
12,5403,146,2007.0,10,100,0.0,0.7071067811865475,0.0,0.0,0.7071067811865475
13,12709,246,2011.0,6,43,0.6350006350009525,0.0,0.0,0.1270001270001905,0.762000762001143
14,14661,202,2013.0,1,24,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475
15,15343,476,2013.0,1,60,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
16,11759,247,2014.0,7,98,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
17,15853,512,2007.0,10,116,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
18,12733,498,2005.0,0,25,0.5494422557947561,0.13736056394868904,0.0,0.0,0.824163383692134
19,10165,405,2008.0,4,23,0.6711560552140243,0.0,0.0,0.06711560552140243,0.7382716607354267
20,8260,289,2008.0,10,40,0.6847367880174606,0.0,0.0,0.04279604925109129,0.7275328372685519
21,11763,6,2009.0,1,8,0.7071067811865476,0.0,0.0,0.0,0.7071067811865476
22,9063,61,2011.0,4,90,0.5303300858899106,0.17677669529663687,0.05892556509887896,0.05892556509887896,0.8249579113843055
23,9466,250,2005.0,4,25,0.5997601439040672,0.17992804317122013,0.0,0.0,0.7796881870752873
24,701,528,2015.0,0,69,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
25,2190,123,2015.0,8,114,0.3171221467447473,0.37148594332956114,0.04530316382067819,0.13590949146203457,0.8607601125928857
26,1868,446,2003.0,7,89,0.4212327394808181,0.16381273202031812,0.24181879488713628,0.031202425146727265,0.8580666915349998
27,6376,276,2002.0,6,40,0.5857074126574228,0.1757122237972268,0.0,0.02928537063287114,0.7907050070875208
28,11704,255,2015.0,0,67,0.0,0.6585046078685182,0.0,0.0,0.7525766947068778
29,410,20,2015.0,0,120,0.20426782157295903,0.4902427717751016,0.015320086617971925,0.1276673884830994,0.8374980684491319
30,6064,230,2013.0,7,104,0.43834172414010264,0.29222781609340176,0.02922278160934018,0.05844556321868036,0.8474606666708651
31,14690,381,2013.0,0,116,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475
32,7621,105,2000.0,4,9,0.6172133998483676,0.1543033499620919,0.0,0.0,0.7715167498104595
33,6606,109,1996.0,7,86,0.0,0.0,0.7071067811865475,0.0,0.7071067811865475
34,9593,214,2013.0,0,126,0.3200921998322399,0.4481290797651359,0.0,0.06401843996644799,0.8322397195638238
35,9217,436,1996.0,5,124,0.47304991679126607,0.2956561979945413,0.0,0.05913123959890826,0.8278373543847157
36,12100,251,1997.0,0,25,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
37,10157,75,2002.0,8,67,0.5743665268941904,0.2153874475853214,0.0,0.0,0.7897539744795119
38,5872,102,,7,90,0.380058475033046,0.17541160386140586,0.20464687117164018,0.11694106924093724,0.8770580193070293
39,9187,147,1996.0,10,7,0.47304991679126607,0.2956561979945413,0.0,0.05913123959890826,0.8278373543847157
40,4864,17,2012.0,9,87,0.18860838403857944,0.08382594846159086,0.5029556907695452,0.04191297423079543,0.8382594846159086
41,9945,527,2010.0,0,31,0.41803980857497053,0.3483665071458088,0.0,0.06967330142916175,0.8360796171499411
42,8025,275,2005.0,8,79,0.6041445928029444,0.17261274080084124,0.0,0.04315318520021031,0.7767573336037855
43,16375,79,2003.0,0,120,0.7071067811865476,0.0,0.0,0.0,0.7071067811865476
44,1799,372,2005.0,7,114,0.0,0.36577235287100063,0.0,0.4446644289804322,0.8176087887704719
45,12850,76,2009.0,5,81,0.0,0.7071067811865475,0.0,0.0,0.7071067811865475
46,5552,114,2007.0,10,40,0.6584110833204246,0.02270383045932499,0.0,0.06811149137797497,0.7492264051577248
47,10528,129,2005.0,10,40,0.6172133998483676,0.1543033499620919,0.0,0.0,0.7715167498104595
48,13912,220,2015.0,0,126,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476
49,6864,458,2006.0,0,40,0.6375767130633383,0.06375767130633384,0.0,0.06375767130633384,0.7650920556760059
50,9387,392,2008.0,7,16,0.44539933408304444,0.31814238148788887,0.0,0.12725695259515554,0.827170191868511
51,2979,286,2003.0,10,40,0.6729596173321614,0.043416749505300736,0.0,0.021708374752650368,0.7380847415901125
52,7339,410,2008.0,6,126,0.4035671561356309,0.3228537249085047,0.0,0.12107014684068926,0.8474910278848248
53,4190,357,1998.0,7,67,0.6232020939625535,0.1312004408342218,0.0,0.016400055104277726,0.770802589901053
54,3396,140,2009.0,7,104,0.3366013853370741,0.16098327124816586,0.3366013853370741,0.04390452852222705,0.8634557276037987
55,7983,225,2002.0,7,116,0.4045199174779452,0.3146266024828463,0.0,0.08989331499509894,0.8539864924534399
56,15386,380,2012.0,0,100,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476
57,4694,509,2000.0,3,55,0.46231739501923763,0.3216121008829479,0.0,0.06030226891555273,0.8241310085125539
