Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14941,0.9826990336949363,0.055261803850815486,0.036040306859227496,0.004805374247896999,0.17299347292429196,4.805374247896999e-05,2.4026871239484996e-05,0.0,0.0,4.805374247896999e-05
9817,0.9576748277600287,0.013713720683914491,0.06628298330558671,0.022856201139857486,0.2788456539062613,0.00020570581025871736,4.571240227971497e-05,0.0,0.0,0.00027427441367828984
9224,0.9987937833677255,0.029204496589699577,0.0369923623469528,0.013628765075193136,0.0019469664393133052,0.00013628765075193136,0.0,0.0001168179863587983,1.9469664393133052e-05,0.00027257530150386273
15756,0.9935822178480318,0.06158567466000198,0.09443136781200302,0.004105711644000132,0.008211423288000263,0.0,0.0,8.211423288000263e-05,0.0,8.211423288000263e-05
1398,0.9697322124255573,0.11972002622537745,0.11373402491410857,0.0,0.17958003933806616,0.0052078211408039185,0.0022746804982821714,0.0,0.0007781801704649534,0.008320541822663731
3429,0.7668048246090999,0.08916335169873256,0.11294024548506124,0.041609564126075194,0.6241434618911279,0.0023182471441670466,0.00011888446893164342,0.0007727490480556821,0.00023776893786328683,0.0035070918334834805
9140,0.9813414903267614,0.06814871460602509,0.07723520988682844,0.049975724044418406,0.1544704197736569,0.0004997572404441841,9.086495280803346e-05,0.0,9.086495280803346e-05,0.0006360546696562343
10307,0.9183753362945776,0.12026343689571849,0.1093303971779259,0.0,0.3607903106871555,0.0005466519858896296,0.0,0.0,5.4665198588962955e-05,0.0006013171844785924
14645,0.9849757724128166,0.03702916437642168,0.08516707806576987,0.01851458218821084,0.14441374106804455,0.0,7.405832875284336e-05,0.0,3.702916437642168e-05,0.00011108749312926503
11473,0.9214430064206907,0.10035517891710492,0.10491677795879151,0.0,0.3603663242932404,0.00022807995208432938,0.0001368479712505976,0.0,4.5615990416865873e-05,0.000364927923334927
15925,0.978279814240122,0.10190414731667938,0.16304663570668698,0.04755526874778371,0.061142488390007625,0.0,0.0,0.00013587219642223917,0.0,0.00013587219642223917
1251,0.9960036034884131,0.026268226905188916,0.04159135926654912,0.0,0.07442664289803526,0.00076615661806801,6.567056726297229e-05,0.0,0.0024735913669052894,0.003305418552236272
9964,0.9592720512687247,0.07446404050944438,0.04380237677026141,0.030661663739182984,0.26719449829859454,0.0,0.0,0.0005256285212431369,0.0,0.0005256285212431369
2806,0.967407347511854,0.009013111933340255,0.05708304224448828,0.009013111933340255,0.24635839284463362,0.0,0.0,0.0021931905704461285,0.0,0.0021931905704461285
14868,0.9165514739044867,0.010616426338662006,0.07431498437063405,0.0,0.39280777453049426,0.0,0.0,0.00010616426338662007,0.0,0.00010616426338662007
669,0.9987731227529331,0.02517915435511596,0.03357220580682128,0.020982628629263297,0.01468784004048431,0.002622828578657912,0.0018045060621166436,2.09826286292633e-05,0.0005455483443608458,0.004972882985135402
14747,0.2765123554066253,0.13825617770331264,0.1935586487846377,0.01843415702710835,0.9309249298689717,0.0,0.0,0.00027651235540662527,0.0,0.00027651235540662527
12068,0.8379082017829461,0.13092315652858533,0.24875399740431214,0.14401547218144387,0.44513873219719013,0.0,0.0007855389391715121,0.0,0.00013092315652858533,0.0009164620957000974
14325,0.9548341383698269,0.0073827381832718576,0.04921825455514572,0.0073827381832718576,0.292848614603117,7.382738183271857e-05,0.0,0.0,0.0,7.382738183271857e-05
11292,0.9642545355893581,0.05977858306888204,0.03898603243622742,0.015594412974490967,0.25470874525001913,0.00015594412974490965,5.198137658163656e-05,0.0,0.0,0.00020792550632654623
10922,0.9853795502028837,0.008877293245071024,0.04734556397371213,0.01479548874178504,0.16275037615963545,0.0,0.0,0.00026631879735213075,0.0,0.00026631879735213075
8753,0.9837223212709355,0.08431905610893733,0.09837223212709355,0.035132940045390554,0.11945199615432787,0.00045672822059007723,3.513294004539056e-05,0.0,7.026588009078111e-05,0.0005269941006808583
8508,0.9071133099745472,0.05086616691446059,0.06358270864307573,0.03814962518584544,0.4111681825585564,0.0003391077794297373,0.00025433083457230296,0.0,8.477694485743432e-05,0.0006782155588594746
6415,0.9981941193910467,0.04227645682126786,0.016440844319381948,0.011743460228129962,0.03757907273001588,0.0,0.0,0.000634146852319018,0.0,0.000634146852319018
